STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_CLOUD_USERSYNC" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.555 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.546+480><thread=2808 (0xAF8)>
    Component SMS_CLOUDCONNECTION flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.546+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_CLOUDCONNECTION" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.558 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.546+480><thread=2808 (0xAF8)>
    Component SMS_COLLECTION_EVALUATOR flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.546+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_COLLECTION_EVALUATOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.560 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.546+480><thread=2808 (0xAF8)>
    Component SMS_COMPONENT_MONITOR flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.546+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_COMPONENT_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.563 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
    Component SMS_COMPONENT_STATUS_SUMMARIZER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_COMPONENT_STATUS_SUMMARIZER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.566 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
    Component SMS_DATABASE_NOTIFICATION_MONITOR flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.568 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
    Component SMS_DESPOOLER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DESPOOLER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.571 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
    Component SMS_DISCOVERY_DATA_MANAGER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DISCOVERY_DATA_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.574 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
    Component SMS_DISTRIBUTION_MANAGER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DISTRIBUTION_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.577 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.562+480><thread=2808 (0xAF8)>
    Component SMS_DMP_DOWNLOADER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DMP_DOWNLOADER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.580 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
    Component SMS_DMP_UPLOADER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DMP_UPLOADER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.583 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
    Component SMS_EN_ADSERVICE_MONITOR flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.578+480><thread=2808 (0xAF8)>
