Main processing thread for message type GatewayService stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=5164 (0x142C)>
Main processing thread for message type Instant stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=10076 (0x275C)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\M365AConfig, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=10076 (0x275C)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.CommonWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=10076 (0x275C)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\M365AConfig, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=5164 (0x142C)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.GenericDownloadWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=5164 (0x142C)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.GenericUploadWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=4920 (0x1338)>
Main processing thread for message type Discovery stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=9860 (0x2684)>
Message processor stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.142+480><thread=5648 (0x1610)>
Disable file watch for 2a22df7e-2e94-406b-b6c2-828e3191a727 on folder C:\Program Files\Microsoft Configuration Manager\inboxes\mpe.box with filter type = *.*~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.158+480><thread=5648 (0x1610)>
Message processor engine stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.158+480><thread=5648 (0x1610)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.MessageProcessingEngine.MessageProcessingEngine~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:48.158+480><thread=5648 (0x1610)>
