INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Cryptographic Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Event Log Readers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Certificate Service DCOM Access,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=RDS Remote Access Servers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=RDS Endpoint Servers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.440+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=RDS Management Servers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Hyper-V Administrators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Access Control Assistance Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Remote Management Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Storage Replica Administrators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Domain Computers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.455+480><thread=9180 (0x23DC)>
