********************************************************************************  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_CERTIFICATE_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=6960 GMTDATE=Mon Feb 27 03:52:16.033 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.022+480><thread=2084 (0x824)>
SMS_CLIENT_CONFIG_MANAGER initialized, DLL = "\bin\x64\ccm.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.022+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\ccm.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.100+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\ccm.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.100+480><thread=2084 (0x824)>
SMS_CLIENT_CONFIG_MANAGER started, ThreadMain() thread ID = 7688.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.100+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_CLIENT_CONFIG_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=7688 GMTDATE=Mon Feb 27 03:52:16.113 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.100+480><thread=2084 (0x824)>
SMS_CLIENT_HEALTH initialized, DLL = "\bin\x64\chmgr.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.100+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\chmgr.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.147+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\chmgr.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.147+480><thread=2084 (0x824)>
SMS_CLIENT_HEALTH started, ThreadMain() thread ID = 624.  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.147+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_CLIENT_HEALTH" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=624 GMTDATE=Mon Feb 27 03:52:16.154 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.147+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): Monitoring thread 3468 exits...  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.147+480><thread=3468 (0xD8C)>
site system identification certificate maintenance in 1697 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.147+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): A monitoring thread 7388 is created  $$<SMS_EXECUTIVE><02-26-2023 19:52:16.147+480><thread=7388 (0x1CDC)>
site system identification certificate maintenance in 1696 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:17.147+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1695 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:18.147+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:18.147+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1694 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:19.162+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:19.162+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1693 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:20.162+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:49.444+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1663 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:50.459+480><thread=2084 (0x824)>
SMS_CLOUD_SERVICES_MANAGER initialized, DLL = "\bin\x64\CloudMgr.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.459+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\CloudMgr.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.475+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\CloudMgr.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.475+480><thread=2084 (0x824)>
SMS_CLOUD_SERVICES_MANAGER started, ThreadMain() thread ID = 7536.  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.475+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_CLOUD_SERVICES_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=7536 GMTDATE=Mon Feb 27 03:52:51.484 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.975+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): Monitoring thread 7388 exits...  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.975+480><thread=7388 (0x1CDC)>
site system identification certificate maintenance in 1662 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.975+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): A monitoring thread 2300 is created  $$<SMS_EXECUTIVE><02-26-2023 19:52:51.975+480><thread=2300 (0x8FC)>
site system identification certificate maintenance in 1661 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:52.991+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1660 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:53.991+480><thread=2084 (0x824)>
