INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Allowed RODC Password Replication Group,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Denied RODC Password Replication Group,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Read-only Domain Controllers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Enterprise Read-only Domain Controllers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Cloneable Domain Controllers,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Protected Users,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Key Admins,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Enterprise Key Admins,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.393+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=DnsAdmins,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.409+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.409+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=DnsUpdateProxy,CN=Users,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.409+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.409+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=TestUserGroup,OU=GROUPS,OU=CORP,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.409+480><thread=9348 (0x2484)>
