STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.519 2023 ISTR0="SMSDBMON_AADSync_Settings_AADSync_Settings_SiteComp_iu_upd" ISTR1="AADSync_Settings" ISTR2="update" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.504+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AAD_Application_Ex_AAD_Application_Ex_SITECOMP_del  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.535+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.538 2023 ISTR0="SMSDBMON_AAD_Application_Ex_AAD_Application_Ex_SITECOMP_del" ISTR1="AAD_Application_Ex" ISTR2="delete" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.535+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AAD_Application_Ex_AAD_Application_Ex_SITECOMP_ins  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.550+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.558 2023 ISTR0="SMSDBMON_AAD_Application_Ex_AAD_Application_Ex_SITECOMP_ins" ISTR1="AAD_Application_Ex" ISTR2="insert" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.550+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AAD_Application_Ex_AAD_Application_Ex_SITECOMP_upd  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.566+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.578 2023 ISTR0="SMSDBMON_AAD_Application_Ex_AAD_Application_Ex_SITECOMP_upd" ISTR1="AAD_Application_Ex" ISTR2="update" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.566+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_ActiveDirectoryForests_ActiveDirectoryForests_SITECOMP_ins  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.582+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.597 2023 ISTR0="SMSDBMON_ActiveDirectoryForests_ActiveDirectoryForests_SITECOMP_ins" ISTR1="ActiveDirectoryForests" ISTR2="insert" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.597+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_ActiveDirectoryForests_ActiveDirectoryForests_SITECOMP_upd  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.613+480><thread=4244 (0x1094)>
STATMSG: ID=2405 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:43.617 2023 ISTR0="SMSDBMON_ActiveDirectoryForests_ActiveDirectoryForests_SITECOMP_upd" ISTR1="ActiveDirectoryForests" ISTR2="update" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.613+480><thread=4244 (0x1094)>
